TABLE NO.  2
 ETA1        ETA2        ETA3        ETA4        ETA5
  0.0000E+00 -7.8812E-01 -5.4281E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8812E-01 -5.4281E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8812E-01 -5.4281E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8812E-01 -5.4281E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8812E-01 -5.4281E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8812E-01 -5.4281E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.1035E-01 -1.0118E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.1035E-01 -1.0118E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.1035E-01 -1.0118E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.1035E-01 -1.0118E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.1035E-01 -1.0118E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.1035E-01 -1.0118E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.1035E-01 -1.0118E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.1358E-02  8.5243E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.1358E-02  8.5243E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.1358E-02  8.5243E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.1358E-02  8.5243E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.1358E-02  8.5243E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.1358E-02  8.5243E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.9170E-01  3.3264E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.9170E-01  3.3264E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.9170E-01  3.3264E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.9170E-01  3.3264E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.9170E-01  3.3264E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9122E-01 -2.5411E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9122E-01 -2.5411E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9122E-01 -2.5411E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9122E-01 -2.5411E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9122E-01 -2.5411E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9122E-01 -2.5411E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9122E-01 -2.5411E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9122E-01 -2.5411E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6689E-01  1.9494E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6689E-01  1.9494E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6689E-01  1.9494E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6689E-01  1.9494E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6689E-01  1.9494E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6689E-01  1.9494E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.0251E-01  6.1788E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.0251E-01  6.1788E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.0251E-01  6.1788E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.0251E-01  6.1788E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.0251E-01  6.1788E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.1312E-01 -9.3337E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.1312E-01 -9.3337E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.1312E-01 -9.3337E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.1312E-01 -9.3337E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.1312E-01 -9.3337E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.1312E-01 -9.3337E-01  0.0000E+00  0.0000E+00
