TABLE NO.  1
 ROW         KA          V2          V3          CL          Q           IPRED       Y           DV          PRED        RES         WRES
  6.0100E+02  2.2156E+00  3.3910E+01  1.5950E+02  7.7912E+00  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.0200E+02  2.2156E+00  3.3910E+01  1.5950E+02  7.7912E+00  8.4355E+00  2.7179E-01  2.7179E-01  2.5706E-01  1.2571E-01  1.3135E-01  3.7348E-02
  6.0300E+02  2.2156E+00  3.3910E+01  1.5950E+02  7.7912E+00  8.4355E+00  5.4494E-01  5.4494E-01  7.0798E-01  2.6399E-01  4.4399E-01  2.8252E+00
  6.0400E+02  2.2156E+00  3.3910E+01  1.5950E+02  7.7912E+00  8.4355E+00  5.7743E-01  5.7743E-01  5.8570E-01  2.9590E-01  2.8980E-01  8.1917E-01
  6.0500E+02  2.2156E+00  3.3910E+01  1.5950E+02  7.7912E+00  8.4355E+00  4.2152E-01  4.2152E-01  6.4982E-01  2.5216E-01  3.9766E-01  3.3504E+00
  6.0600E+02  2.2156E+00  3.3910E+01  1.5950E+02  7.7912E+00  8.4355E+00  1.9386E-01  1.9386E-01  1.8526E-01  1.5286E-01  3.2399E-02 -1.8714E-01
  6.1100E+02  2.2156E+00  1.1241E+02  1.5950E+02  1.0860E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.1200E+02  2.2156E+00  1.1241E+02  1.5950E+02  1.0860E+01  8.4355E+00  8.9252E-02  8.9252E-02  8.6748E-02  1.3317E-01 -4.6419E-02 -3.2559E-01
  6.1300E+02  2.2156E+00  1.1241E+02  1.5950E+02  1.0860E+01  8.4355E+00  1.8937E-01  1.8937E-01  1.8008E-01  2.7438E-01 -9.4300E-02 -5.0134E-01
  6.1400E+02  2.2156E+00  1.1241E+02  1.5950E+02  1.0860E+01  8.4355E+00  2.1530E-01  2.1530E-01  1.9879E-01  2.9944E-01 -1.0065E-01 -5.8325E-01
  6.1500E+02  2.2156E+00  1.1241E+02  1.5950E+02  1.0860E+01  8.4355E+00  1.9722E-01  1.9722E-01  1.9367E-01  2.4986E-01 -5.6187E-02 -3.9803E-01
  6.1600E+02  2.2156E+00  1.1241E+02  1.5950E+02  1.0860E+01  8.4355E+00  1.4808E-01  1.4808E-01  2.1215E-01  1.5796E-01  5.4188E-02  1.1204E+00
  6.1700E+02  2.2156E+00  1.1241E+02  1.5950E+02  1.0860E+01  8.4355E+00  8.5137E-02  8.5137E-02  7.6733E-02  6.8339E-02  8.3945E-03 -3.5351E-01
  6.2100E+02  2.2156E+00  6.9440E+01  1.5950E+02  3.4155E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
