TABLE NO.  1
 ROW         TVKA        TVV2        TVV3        TVCL        KA          V2          V3          CL          Q           IPRED       Y           DV          PRED        RES         WRES
  1.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  2.5037E+00  1.6011E+00  0.0000E+00  2.8907E+00  0.0000E+00  0.0000E+00
  4.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  2.2717E+00  9.1225E-01  0.0000E+00  2.4982E+00  0.0000E+00  0.0000E+00
  5.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  1.8450E+00  1.4953E+00  0.0000E+00  1.9258E+00  0.0000E+00  0.0000E+00
  6.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  1.4871E+00  1.2435E+00  0.0000E+00  1.4754E+00  0.0000E+00  0.0000E+00
  7.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  1.2070E+00  1.1227E+00  0.0000E+00  1.1424E+00  0.0000E+00  0.0000E+00
  8.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  9.8970E-01  7.6581E-01  0.0000E+00  8.9808E-01  0.0000E+00  0.0000E+00
  9.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  8.2090E-01  5.5896E-01  0.0000E+00  7.1850E-01  0.0000E+00  0.0000E+00
  1.0000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  6.8945E-01  1.0620E+00  0.0000E+00  5.8604E-01  0.0000E+00  0.0000E+00
  1.1000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  5.8674E-01  5.7392E-01  0.0000E+00  4.8784E-01  0.0000E+00  0.0000E+00
  1.2000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  5.0613E-01  3.6768E-01  0.0000E+00  4.1458E-01  0.0000E+00  0.0000E+00
  1.3000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  4.4255E-01  4.8772E-01  0.0000E+00  3.5947E-01  0.0000E+00  0.0000E+00
  1.4000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  3.9208E-01  4.4280E-01  0.0000E+00  3.1761E-01  0.0000E+00  0.0000E+00
  1.5000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  3.5174E-01  4.1708E-01  0.0000E+00  2.8541E-01  0.0000E+00  0.0000E+00
  1.6000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  3.1922E-01  3.7616E-01  0.0000E+00  2.6028E-01  0.0000E+00  0.0000E+00
  1.7000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  2.9275E-01  1.7880E-01  0.0000E+00  2.4034E-01  0.0000E+00  0.0000E+00
  1.8000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  2.7097E-01  4.0259E-01  0.0000E+00  2.2423E-01  0.0000E+00  0.0000E+00
  1.9000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  2.5284E-01  3.2128E-01  0.0000E+00  2.1094E-01  0.0000E+00  0.0000E+00
  2.0000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  2.3754E-01  2.5127E-01  0.0000E+00  1.9975E-01  0.0000E+00  0.0000E+00
  2.1000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  2.2447E-01  1.9798E-01  0.0000E+00  1.9013E-01  0.0000E+00  0.0000E+00
  2.2000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  2.1314E-01  8.9072E-02  0.0000E+00  1.8171E-01  0.0000E+00  0.0000E+00
  2.3000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  2.0320E-01  2.2049E-01  0.0000E+00  1.7419E-01  0.0000E+00  0.0000E+00
  2.4000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  1.9435E-01  2.4238E-01  0.0000E+00  1.6739E-01  0.0000E+00  0.0000E+00
  2.5000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  1.8639E-01  2.1880E-01  0.0000E+00  1.6113E-01  0.0000E+00  0.0000E+00
  2.6000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  1.7913E-01  1.9836E-01  0.0000E+00  1.5532E-01  0.0000E+00  0.0000E+00
  2.7000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  1.7913E-01  2.0162E-01  0.0000E+00  1.5532E-01  0.0000E+00  0.0000E+00
  2.8000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  9.0741E+01  1.5006E+02  1.3205E+01  8.4865E+00  1.4243E+00  2.2243E+00  0.0000E+00  1.5952E+00  0.0000E+00  0.0000E+00
