TABLE NO.  1
 ROW         TVKA        TVV2        TVV3        TVCL        KA          V2          V3          CL          Q           IPRED       Y           DV          PRED        RES         WRES
  1.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  3.4864E+00  2.8844E+00  0.0000E+00  2.8907E+00  0.0000E+00  0.0000E+00
  4.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  3.1942E+00  5.7616E+00  0.0000E+00  2.4982E+00  0.0000E+00  0.0000E+00
  5.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  2.6279E+00  2.6668E+00  0.0000E+00  1.9258E+00  0.0000E+00  0.0000E+00
  6.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  2.1518E+00  1.9049E+00  0.0000E+00  1.4754E+00  0.0000E+00  0.0000E+00
  7.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  1.7796E+00  8.0364E-01  0.0000E+00  1.1424E+00  0.0000E+00  0.0000E+00
  8.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  1.4909E+00  1.5491E+00  0.0000E+00  8.9808E-01  0.0000E+00  0.0000E+00
  9.0000E+00  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  1.2667E+00  1.7924E+00  0.0000E+00  7.1850E-01  0.0000E+00  0.0000E+00
  1.0000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  1.0922E+00  1.4956E+00  0.0000E+00  5.8604E-01  0.0000E+00  0.0000E+00
  1.1000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  9.5586E-01  1.0774E+00  0.0000E+00  4.8784E-01  0.0000E+00  0.0000E+00
  1.2000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  8.4877E-01  3.6468E-01  0.0000E+00  4.1458E-01  0.0000E+00  0.0000E+00
  1.3000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  7.6418E-01  9.7333E-01  0.0000E+00  3.5947E-01  0.0000E+00  0.0000E+00
  1.4000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  6.9691E-01  6.8242E-01  0.0000E+00  3.1761E-01  0.0000E+00  0.0000E+00
  1.5000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  6.4297E-01  5.8259E-01  0.0000E+00  2.8541E-01  0.0000E+00  0.0000E+00
  1.6000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  5.9929E-01  6.9388E-01  0.0000E+00  2.6028E-01  0.0000E+00  0.0000E+00
  1.7000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  5.6354E-01  9.6418E-01  0.0000E+00  2.4034E-01  0.0000E+00  0.0000E+00
  1.8000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  5.3391E-01  5.2102E-01  0.0000E+00  2.2423E-01  0.0000E+00  0.0000E+00
  1.9000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  5.0902E-01  4.0822E-01  0.0000E+00  2.1094E-01  0.0000E+00  0.0000E+00
  2.0000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  4.8781E-01  5.3402E-01  0.0000E+00  1.9975E-01  0.0000E+00  0.0000E+00
  2.1000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  4.6948E-01  4.7960E-01  0.0000E+00  1.9013E-01  0.0000E+00  0.0000E+00
  2.2000E+01  2.1666E+00  7.5729E+01  1.5006E+02  1.3978E+01  2.1666E+00  6.5561E+01  1.5006E+02  6.6268E+00  8.4865E+00  4.5338E-01  5.5710E-01  0.0000E+00  1.8171E-01  0.0000E+00  0.0000E+00
