TABLE NO.  1
 ROW         LTVKA       LTVV2       LTVCL       KA          V2          CL          IPRED       Y           DV          PRED        RES         WRES
  1.0000E+00  1.1198E+00  1.1465E+01  9.8312E+00  2.6720E+00  8.3980E+04  1.0131E+04  0.0000E+00  5.5733E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  1.1198E+00  1.1465E+01  9.8312E+00  2.6720E+00  8.3980E+04  1.0131E+04  0.0000E+00  9.5931E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.6000E+01  1.1198E+00  1.1465E+01  9.8312E+00  2.6720E+00  8.3980E+04  1.0131E+04  2.0681E-01  2.5393E-01  0.0000E+00  3.1040E-02  0.0000E+00  0.0000E+00
  0.0000E+00  1.1198E+00  1.1465E+01  9.8312E+00  2.6720E+00  8.3980E+04  1.0131E+04  2.0681E-01  1.4910E-01  0.0000E+00  3.1040E-02  0.0000E+00  0.0000E+00
  0.0000E+00  1.1198E+00  1.1465E+01  9.8312E+00  2.6720E+00  8.3980E+04  1.0131E+04  1.1483E-01  1.8259E-01  0.0000E+00  1.5807E-02  0.0000E+00  0.0000E+00
  0.0000E+00  1.1198E+00  1.1465E+01  9.8312E+00  2.6720E+00  8.3980E+04  1.0131E+04  1.0975E-01  9.5961E-02  0.0000E+00  1.5666E-02  0.0000E+00  0.0000E+00
  0.0000E+00  1.1198E+00  1.1465E+01  9.8312E+00  2.6720E+00  8.3980E+04  1.0131E+04  1.0947E-01  1.5471E-01  0.0000E+00  1.5665E-02  0.0000E+00  0.0000E+00
  0.0000E+00  1.1198E+00  1.1465E+01  9.8312E+00  2.6720E+00  8.3980E+04  1.0131E+04  1.0945E-01  9.3566E-02  0.0000E+00  1.5665E-02  0.0000E+00  0.0000E+00
  0.0000E+00  1.1198E+00  1.1465E+01  9.8312E+00  2.6720E+00  8.3980E+04  1.0131E+04  1.0945E-01  4.6729E-02  0.0000E+00  1.5665E-02  0.0000E+00  0.0000E+00
  0.0000E+00  1.1198E+00  1.1465E+01  9.8312E+00  2.6720E+00  8.3980E+04  1.0131E+04  1.0945E-01  1.8383E-01  0.0000E+00  1.5665E-02  0.0000E+00  0.0000E+00
  0.0000E+00  1.1198E+00  1.1465E+01  9.8312E+00  2.6720E+00  8.3980E+04  1.0131E+04  6.0503E-03  2.0966E-02  0.0000E+00  1.4464E-04  0.0000E+00  0.0000E+00
